r01		r02		r03		r10		r12		r13		r20		r21		r23		r30		r31		r32		
6012		5979		3530		6035		3909		3590		5923		3905		2509		3521		3590		2514		
6026		5904		3502		Err		Err		Err		5947		3928		2528		3548		3623		2524		
6007		5904		3516		5988		3867		3600		5947		3923		2547		3535		3590		2528		
6012		5937		3521		6054		3895		3590		5988		3970		2514		3539		3609		2509		
6026		6002		3521		6030		3909		3614		5825		3891		2538		3530		3600		2542		
6044		5904		3516		5993		3900		3609		5876		3919		2491		3511		3619		2491		
6049		5853		3535		5988		3895		3600		5956		3923		2542		3525		3586		2514		
6049		5886		3525		Err		3909		3619		5975		3881		2528		3549		3605		2519		
6026		5928		3549		Err		3914		3614		5900		Err		2495		3549		3600		2593		
6021		5933		3562		6059		3881		3600		5886		3914		2533		3572		3623		2514		
6040		5961		3530		6035		3938		Err		5886		3909		2575		3511		3619		2575		
6002		5909		3548		Err		3933		3600		5937		3886		2528		3516		3619		2547		
6026		5979		3539		5998		3938		3628		5890		3895		2528		3525		3609		Err		
6002		5923		3535		6016		3961		3619		5867		3914		2533		3502		3623		2509		
5989		5961		3548		5998		3886		3642		5904		3919		2533		3544		3637		2552		
5984		5914		3535		6030		3900		Err		5918		Err		2528		3525		3605		2495		
6002		5876		3535		5989		3928		3628		5909		3923		2472		3479		3600		2500		
6012		5956		3539		5979		3877		3609		Err		3947		2500		3544		3628		2561		
6002		5984		3544		6026		3900		3642		5937		3848		2524		3544		3633		2467		
6026		6016		3549		5998		3914		3628		5951		3872		2519		3511		3633		2439		
5993		5862		3549		6002		3900		Err		5867		3905		2500		3544		3590		2538		
5998		5867		3553		6002		3895		3600		5862		3891		2650		3549		3595		2519		
6026		5928		3549		6040		3900		3647		5904		3900		2575		3530		3642		2495		
6026		Err		3544		6054		3923		3600		6021		3933		2467		3511		3595		2505		
6026		5904		3535		6016		3923		3609		Err		3905		2528		3521		3595		2524		
6012		5933		3544		Err		3895		3614		5914		3919		2486		3516		3614		2528		
6016		5951		3576		6016		3942		3609		5928		3914		2495		3511		3628		2519		
5989		5923		3544		6002		3891		3628		5904		3891		2509		3530		3595		2500		
6026		5909		3525		6026		3867		3595		5900		3928		2463		3544		3623		2552		
6030		5961		3507		6035		3867		3600		5848		3891		2538		3562		3614		2524		
6059		5904		3535		6007		3909		3642		6007		3886		2509		Err		3633		2500		
6012		5989		3548		6021		3895		3595		5970		3877		2533		3539		Err		2509		
6049		5951		3530		5998		3886		3609		5928		3886		2500		3511		3595		2528		
6007		5956		3530		6021		3877		3576		5937		3938		2528		3511		3600		2524		
6035		5965		3544		6012		3909		3633		Err		3914		2542		3535		3595		2477		
5998		5914		3548		6016		3933		3619		5942		3905		2561		3516		3609		2519		
6026		5923		3511		6007		3966		3605		5918		3919		2556		3544		3586		2528		
5993		6012		3535		5989		3923		3605		5909		3858		2556		3516		3623		2538		
6026		5881		3553		6002		3956		3600		5918		3914		2509		3511		3600		2528		
5984		5890		3539		6030		Err		3609		5843		3891		2547		3549		3600		2519		
6026		5937		3553		6012		3928		3633		5975		3919		2542		3539		3600		2500		
5993		5904		3544		5988		3900		3614		5876		3900		2514		3507		3614		2538		
6026		5890		3516		5998		Err		3623		5858		3877		2570		Err		3609		2547		
6002		5989		3562		6012		3914		3628		5895		3942		2505		3535		3595		2481		
5979		5904		3539		5998		3919		3619		5909		3909		2533		3549		3595		2491		
6016		5881		3544		5988		3928		3605		5843		3905		2514		3521		3619		2509		
6054		5886		3544		6007		3895		3609		5895		3872		2505		3539		3586		2495		
Err		5909		3544		6035		3900		3600		5872		3942		2500		3530		3590		2542		
6082		5961		3516		6030		3909		3605		5984		3877		2505		3544		3595		2528		
6002		5909		3535		6054		3914		3656		6012		3919		2519		Err		3609		2556		
6040		5961		3544		6035		3877		3600		5961		3881		2547		3544		3628		2509		
6002		5933		3548		5998		3881		3642		5872		3909		2547		3558		3572		2500		
5993		5923		3581		6016		3933		3605		5825		3891		2519		3516		3600		2486		
6016		5928		3525		6021		3928		Err		5801		3923		2505		3497		3619		2556		
6002		5890		3521		6030		3938		3628		5904		3933		2514		3544		3614		2514		
6030		5961		3530		6059		3900		3590		5895		3877		2570		3511		3600		2528		
6016		5961		3530		6016		3923		3595		5872		3905		2514		3549		3628		2533		
6049		5890		3521		Err		3942		3614		5928		3919		Err		Err		3619		2561		
6030		5904		3562		6040		3900		3595		5914		3909		Err		3544		3619		2524		
6016		5839		3530		6030		3923		3595		Err		3891		2500		Err		3600		2514		
6035		5979		3544		6026		3886		3609		5904		3909		2528		Err		Err		2505		
6040		5923		3549		Err		3905		3619		5839		3900		2552		3507		3605		2505		
6035		5928		3562		6021		3905		3605		5843		3914		2528		3521		3595		2547		
6026		5900		3549		6030		3886		3628		5979		3900		2528		3549		3623		2566		
6016		5881		3539		6021		3938		3623		5853		3886		2524		3525		3614		2524		
6002		5914		3544		6026		3877		3605		5984		3938		2538		3558		3590		Err		
6030		5890		3521		6063		3966		3614		5928		3900		2533		Err		3614		2533		
6002		5909		3562		6021		3886		3623		5839		3877		2519		3521		3614		2519		
6054		5867		3544		6044		3952		3623		5928		3923		2509		3549		3623		2477		
6021		5937		3572		6021		Err		3600		5904		3886		2524		3530		3623		2528		
6030		5956		3516		6026		3886		3614		5947		3928		2509		3530		3619		2486		
6054		5947		3535		5984		3942		3605		5909		3905		2566		3535		3614		2542		
6021		5886		3525		5984		3891		3600		Err		3942		2519		3511		3605		2547		
6026		5937		3530		6012		3923		3605		5951		3933		2472		3558		3595		2528		
6016		5881		3521		6040		3919		3609		5998		3909		2509		3544		3614		2486		
6063		5895		3539		6012		3895		3619		5890		3886		2505		3521		3600		2472		
6044		5979		3548		Err		3900		3605		5890		3877		2542		3539		3637		2514		
6021		5923		3535		Err		3909		3614		5872		Err		2519		3544		3623		2533		
6054		5928		3535		6026		3900		3590		5900		3895		2538		3525		3595		2552		
6035		5848		3530		6044		3886		3614		5970		3966		Err		3511		3623		2519		
Err		Err		3530		6035		3900		3605		5815		3914		2528		3558		3633		2524		
6021		6040		3544		6077		3895		3614		5923		3895		2533		3507		3590		2524		
6040		5923		3530		6044		3947		3600		5886		Err		2509		3525		3605		2472		
6054		5961		3521		6035		3933		3600		5895		3895		2528		3511		3623		2514		
Err		5909		3553		6040		3877		3605		5937		3867		2542		3548		3605		2552		
6021		5942		3535		6007		3900		3609		5900		3942		2883		3544		3590		2524		
6035		5984		3516		6012		3895		3605		5989		3900		2542		Err		Err		2533		
6044		5975		3562		5998		3909		3614		5989		3928		2570		3544		3595		2486		
6012		5895		3525		6068		3891		3647		5979		3933		2547		3525		3609		2533		
6035		5909		3549		6026		3919		3628		5984		3909		2514		3530		3605		2533		
6063		5961		3530		6007		3919		3614		5881		3942		2528		3535		3595		2528		
6021		5918		Err		6040		3886		3581		5933		3900		2481		3521		3605		2528		
6012		5923		3530		6016		3895		3595		5984		3905		2514		3544		3614		2505		
6030		5872		3581		6059		3942		3623		5923		3914		2514		3525		3614		2552		
6044		5947		3525		6012		3895		3600		5956		3938		2505		3511		3605		2509		
6026		5988		3549		6040		3900		3609		5928		3891		2547		3530		3623		2538		
6016		5975		3521		6021		3895		3605		5989		3895		2500		3502		3623		2547		
6049		5890		3548		6040		3877		3595		5951		3900		2561		3525		3605		2547		
6040		5961		3535		6007		3909		3605		5881		3909		2538		3548		3619		2524		
6030		5928		3548		6035		3933		3609		5918		3905		2514		3544		3614		2528		
6012		5895		3548		Err		3886		3619		5881		3928		2542		Err		3605		2552		
6059		5886		3576		6030		3938		3619		5961		3905		2505		3530		3605		2528		
Err		5970		3535		6016		3895		3614		5928		3919		2533		3539		3619		2570		
6030		5965		3539		6044		3891		3623		5876		3881		2524		3544		3605		2528		
6035		5853		3530		6012		3914		3609		5886		3914		2547		3511		3623		2538		
Err		5900		3511		5993		3909		3628		5881		3919		2561		3548		3623		2519		
6016		5975		3553		6012		3933		3628		5904		3914		2514		3535		3651		2509		
6002		5918		3521		6059		3886		3586		5933		3933		2519		3535		3619		Err		
6030		5988		3530		6016		3942		3605		5843		3905		2552		3535		3623		2467		
6054		5933		3539		6026		3895		3595		6012		3895		2542		3549		3614		2542		
6012		5928		3521		6026		3872		3642		5928		3933		2505		3539		3619		2542		
6012		5984		3549		6049		3919		3600		5937		3900		2538		3535		3595		2542		
6077		5923		3548		6035		3872		3609		5961		3947		2547		3516		3609		2542		
6026		5918		3525		6035		3905		3581		5890		3952		2547		3525		3628		2538		
6059		5881		3525		6073		3891		3637		5909		3886		2519		3516		3623		2505		
6030		6002		3558		6030		3975		3619		5979		3942		2542		3549		3637		2509		
6030		5956		3530		6054		3909		3619		5918		3952		2542		3535		3614		2495		
6030		5984		3539		6021		3895		3600		5928		3895		2519		3586		3609		2486		
6012		5928		Err		6007		3900		3600		5933		3881		2542		3549		3600		2538		
6016		5890		3530		6016		3947		3633		5872		3900		2500		3530		3609		2528		
5998		5928		3535		6007		3895		3642		5933		3895		2533		3502		3633		2631		
5988		5965		3549		5993		3895		3581		5947		3872		2533		3548		3614		2505		
5993		5918		3525		5984		3886		3623		5848		3909		2552		3539		3623		2533		
5989		5909		3539		5993		3909		3619		5890		3905		2519		3511		3605		2500		
5975		5975		3544		5998		3886		3619		5965		3909		2538		3539		3619		2519		
5998		5918		3507		6016		3938		Err		5918		3891		2509		3539		3623		2547		
6007		5951		3548		5988		3923		3600		5942		3933		2575		3558		3595		2528		
6026		5895		3549		6035		3909		3581		5895		3909		2570		3516		3605		2542		
6016		5904		3544		5993		3895		3609		5886		3863		2547		3488		3605		2505		
5988		5914		3507		6002		3891		3614		5904		3877		2500		3535		3651		2505		
5998		5947		3549		5988		3900		3609		5937		3909		2542		3530		3600		2463		
5989		6007		3525		5998		3877		3600		5914		3881		2481		3544		3637		2481		
6012		5881		3535		5993		3891		3619		5881		3928		2495		3511		3609		2547		
5984		5914		3544		6012		Err		3661		5895		3942		2542		3553		3605		2542		
6035		5904		3511		6035		3877		3642		5928		3877		2542		3530		3623		2528		
6007		5914		3516		5998		3909		3609		5914		3914		2547		3535		3623		2514		
6030		5965		3530		6012		3895		3609		5909		3919		2528		3535		3609		2514		
6030		5942		3521		6068		3900		3614		5876		3923		2528		3516		3614		Err		
6049		5886		3548		6012		3947		3619		5918		3905		2547		3507		3614		2509		
5993		5975		3562		6030		Err		3595		5965		3947		2533		3539		3600		2547		
6021		5886		3539		6026		3877		3609		5965		3923		2570		3511		3637		2519		
6016		5909		3544		5988		3886		3623		5970		3881		2528		3507		3637		2556		
5998		5876		3530		5988		3933		3609		6012		3914		2547		3493		3605		2467		
6026		5923		3549		5984		3923		3600		5918		3923		2547		3549		3614		2500		
5984		5923		3539		5998		3933		3619		5933		3905		2533		3488		3605		2533		
6007		5848		3511		6007		3933		3590		5989		3895		2533		3516		3605		2505		
5998		5961		3535		6002		3909		3605		5904		3886		2524		3535		3628		2514		
5984		5867		3567		5989		3914		3600		5872		3942		2509		3530		3605		2519		
5984		5979		3572		5984		3872		3609		5900		3928		2538		3539		3614		2715		
5975		5867		3525		6012		3914		3600		5914		3923		2486		3507		3609		2514		
6016		5853		3530		6030		3923		3590		Err		3895		2491		3539		3623		2505		
6016		5965		3544		6054		3919		3595		5876		3914		2477		3530		3633		2514		
5988		Err		3567		5998		3914		3600		5872		3919		2556		Err		3637		2514		
